secid,date,expiration,ForwardPrice
108105,20100104,20100108,1132.759389
108105,20100104,20100116,1132.415709
108105,20100104,20100220,1130.455018
108105,20100104,20100320,1128.927498
108105,20100104,20100331,1128.284153
108105,20100104,20100417,1127.437056
108105,20100104,20100619,1124.334809
108105,20100104,20100630,1123.727631
108105,20100104,20100630,1123.773928
108105,20100104,20100918,1120.32966
108105,20100104,20100930,1119.826063
108105,20100104,20100930,1119.861379
108105,20100104,20101218,1117.41118
108105,20100104,20101231,1117.056637
108105,20100104,20101231,1117.079453
108105,20100104,20110618,1115.046288
108105,20100104,20111217,1116.874553
108105,20100104,20121222,1131.277941
108105,20100105,20100108,1136.345953
108105,20100105,20100116,1135.999133
108105,20100105,20100220,1134.025281
108105,20100105,20100320,1132.479002
108105,20100105,20100331,1131.828104
108105,20100105,20100417,1130.97024
108105,20100105,20100619,1127.786666
108105,20100105,20100630,1127.160586
108105,20100105,20100630,1127.208379
108105,20100105,20100918,1123.62472
108105,20100105,20100930,1123.094147
108105,20100105,20100930,1123.131427
108105,20100105,20101218,1120.511203
108105,20100105,20101231,1120.119274
108105,20100105,20101231,1120.144623
108105,20100105,20110618,1117.599546
108105,20100105,20111217,1118.740532
108105,20100105,20121222,1131.810121
108105,20100106,20100108,1137.023577
108105,20100106,20100116,1136.674907
108105,20100106,20100220,1134.689436
108105,20100106,20100320,1133.128534
108105,20100106,20100331,1132.4673
108105,20100106,20100417,1131.593158
108105,20100106,20100619,1128.33821
108105,20100106,20100630,1127.694642
108105,20100106,20100630,1127.743819
108105,20100106,20100918,1124.031619
108105,20100106,20100930,1123.478823
108105,20100106,20100930,1123.517714
108105,20100106,20101218,1120.761194
108105,20100106,20101231,1120.348578
108105,20100106,20101231,1120.375311
108105,20100106,20110618,1117.637435
108105,20100106,20111217,1118.6777
108105,20100106,20121222,1131.856286
108105,20100107,20100108,1141.631481
108105,20100107,20100116,1141.281027
108105,20100107,20100220,1139.28511
108105,20100107,20100320,1137.714197
108105,20100107,20100331,1137.048827
108105,20100107,20100417,1136.169001
108105,20100107,20100619,1132.883754
108105,20100107,20100630,1132.235731
108105,20100107,20100630,1132.285247
108105,20100107,20100918,1128.548078
108105,20100107,20100930,1127.992811
108105,20100107,20100930,1128.031869
108105,20100107,20101218,1125.267178
108105,20100107,20101231,1124.856764
108105,20100107,20101231,1124.883332
108105,20100107,20110618,1122.235231
108105,20100107,20111217,1123.494779
108105,20100107,20121222,1137.219964
108105,20100108,20100116,1144.628327
108105,20100108,20100220,1142.624376
108105,20100108,20100320,1141.043389
108105,20100108,20100331,1140.372488
108105,20100108,20100417,1139.484251
108105,20100108,20100619,1136.144325
108105,20100108,20100630,1135.479785
108105,20100108,20100630,1135.530621
108105,20100108,20100918,1131.663716
108105,20100108,20100930,1131.076744
108105,20100108,20100930,1131.118131
108105,20100108,20101218,1128.142799
108105,20100108,20101231,1127.692762
108105,20100108,20101231,1127.72202
108105,20100108,20110618,1124.573293
108105,20100108,20111217,1125.37545
108105,20100108,20121222,1138.467988
108105,20100111,20100116,1146.803741
108105,20100111,20100220,1144.792527
108105,20100111,20100320,1143.208043
108105,20100111,20100331,1142.534151
108105,20100111,20100417,1141.641309
108105,20100111,20100619,1138.270463
108105,20100111,20100630,1137.599421
108105,20100111,20100630,1137.650769
108105,20100111,20100918,1133.736717
108105,20100111,20100930,1133.135385
108105,20100111,20100930,1133.177824
108105,20100111,20101218,1130.107808
108105,20100111,20101231,1129.635827
108105,20100111,20101231,1129.666577
108105,20100111,20110618,1126.245679
108105,20100111,20111217,1126.77663
108105,20100111,20121222,1139.513712
108105,20100112,20100116,1136.103525
108105,20100112,20100220,1134.109247
108105,20100112,20100320,1132.53859
108105,20100112,20100331,1131.870582
108105,20100112,20100417,1130.985522
108105,20100112,20100619,1127.630409
